,lat,lng,title,status,All,day1,day2,eeee,sdasfsdfs ddd
2,40.415512,-3.707401,"Plaza Mayor, Espanha",Done,1,1.0,1.0,1.0,1.0
5,40.41354,-3.69822,"Barrio de Las Letras, Espanha",ToDo,1,,,,1.0
21,40.435505,-3.692508,"Museu Sorolla, Espanha",Done,1,,,,1.0
24,40.422382,-3.703806,"Iglesia de San Antonio de Los Alemanes, Espanha",ToDo,1,,,,1.0
